Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,51.416668,52.000000,51.041668,51.593735,29.170366,4569300
1999-12-02,52.000000,52.833332,50.666668,52.708332,29.800539,4892700
1999-12-03,53.958332,55.583332,53.875000,54.666668,30.907742,5766700
1999-12-06,54.666668,54.666668,51.583332,52.583332,29.729876,4982500
1999-12-07,52.333332,52.791668,51.583332,52.416668,29.635637,5553600
1999-12-08,52.250000,52.416668,51.250000,51.812466,29.294033,4757100
1999-12-09,52.000000,52.916668,50.708332,51.916668,29.352942,4738200
1999-12-10,53.083332,53.083332,52.083332,52.625000,29.753414,4813600
1999-12-13,52.083332,52.833332,51.833332,52.354134,29.600285,2552800
1999-12-14,52.041668,52.041668,50.708332,51.041668,28.858225,3342000
1999-12-15,51.041668,51.583332,49.833332,50.333332,28.457758,4586400
1999-12-16,50.791668,50.791668,49.208332,50.000000,28.269291,4055100
1999-12-17,48.833332,49.916668,48.041668,48.500000,27.421223,9983500
1999-12-20,48.916668,49.291668,48.166668,48.166668,27.232746,6205600
1999-12-21,48.250000,51.000000,48.083332,50.000000,28.269291,7860000
1999-12-22,50.000000,50.416668,49.333332,49.916668,28.222183,3378400
1999-12-23,50.833332,51.958332,50.708332,51.666668,29.211594,4337400
1999-12-27,51.666668,52.791668,51.000000,51.000000,28.834671,3811800
1999-12-28,51.125000,51.583332,50.875000,50.958332,28.811110,2253300
1999-12-29,51.458332,52.125000,51.291668,51.708332,29.235147,2300200
1999-12-30,51.708332,52.458332,51.166668,52.041668,29.423613,1916100
1999-12-31,52.000000,52.250000,51.791668,51.791668,29.282269,1160400
2000-01-03,49.833332,50.250000,48.083332,48.583332,27.468323,12019200
2000-01-04,47.083332,47.458332,46.125000,47.250000,26.941799,11723400
2000-01-05,46.833332,48.375000,46.000000,46.958332,26.775501,8714500
2000-01-06,46.750000,48.625000,46.500000,47.625000,27.155628,8369200
2000-01-07,48.416668,49.000000,47.333332,48.500000,27.654560,6571900
2000-01-10,48.500000,48.916668,47.666668,47.666668,27.179388,4723500
2000-01-11,46.666668,46.958332,45.500000,46.541668,26.537928,8405500
2000-01-12,46.458332,47.250000,46.333332,46.833332,26.704227,7271800
2000-01-13,47.416668,48.333332,47.041668,47.541668,27.108130,6918900
2000-01-14,49.291668,50.500000,48.541668,49.250000,28.082212,9731800
2000-01-18,49.291668,49.666668,46.833332,47.333332,26.989328,5296600
2000-01-19,48.166668,50.250000,48.166668,49.416668,28.177246,15734700
2000-01-20,50.250000,50.666668,48.500000,49.375000,28.153486,7770300
2000-01-21,49.250000,49.333332,48.416668,48.625000,27.725832,5160600
2000-01-24,49.583332,49.708332,48.125000,48.666668,27.749592,6459100
2000-01-25,48.666668,50.500000,48.666668,49.750000,28.367311,7579900
2000-01-26,50.250000,52.666668,50.000000,52.291668,29.816547,8386600
2000-01-27,52.958332,54.333332,52.375000,53.791668,30.671843,8165800
2000-01-28,53.041668,53.041668,51.083332,51.125000,29.151320,7500000
2000-01-31,51.208332,54.333332,51.208332,53.791668,30.671843,7160200
2000-02-01,54.958332,56.333332,54.208332,55.833332,31.836004,9651000
2000-02-02,55.333332,56.125000,54.250000,54.916668,31.313328,7126200
2000-02-03,55.666668,56.583332,53.500000,55.458332,31.622169,9200200
2000-02-04,55.000000,55.541668,54.375000,54.500000,31.075745,5115100
2000-02-07,54.791668,55.583332,54.500000,54.791668,31.242037,4684200
2000-02-08,56.041668,57.416668,56.000000,56.708332,32.334923,6318600
2000-02-09,56.625000,57.583332,54.958332,55.250000,31.503386,9818500
2000-02-10,55.416668,55.833332,54.250000,55.416668,31.598412,6880500
2000-02-11,55.500000,56.666668,54.666668,55.083332,31.408342,7052500
2000-02-14,54.833332,55.625000,52.708332,52.708332,30.054140,5904700
2000-02-15,53.375000,55.000000,53.083332,54.041668,30.814394,8965500
