Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,51.625000,51.718750,45.062500,46.625000,28.224152,142567200
2000-01-01,46.562500,48.468750,40.250000,43.031250,26.048704,153516200
2000-02-01,42.718750,43.156250,35.031250,36.000000,21.792385,186522000
2000-03-01,36.125000,41.125000,33.062500,35.125000,21.416458,279805400
2000-04-01,35.312500,42.218750,35.000000,41.250000,25.151020,170787400
2000-05-01,41.125000,45.000000,40.937500,44.750000,27.285038,120208200
2000-06-01,44.625000,50.992149,41.250000,50.937500,31.283913,149885600
2000-07-01,50.625000,50.718750,45.125000,46.531250,28.577774,134047800
2000-08-01,46.250000,49.437500,45.625000,45.976551,28.237085,100354600
2000-09-01,46.250000,48.906250,45.156250,46.968750,29.038052,96535000
2000-10-01,47.093750,48.750000,45.156250,46.062500,28.477766,142009400
2000-11-01,46.000000,51.500000,44.593750,50.000000,30.912102,138432000
2000-12-01,49.625000,52.968750,47.625000,52.531250,32.699203,139899600
2001-01-01,52.000000,52.343750,45.187500,46.564999,28.985401,168446600
2001-02-01,46.564999,49.125000,46.564999,48.665001,30.292591,116971800
2001-03-01,48.900002,49.924999,40.250000,43.735001,27.407187,295296000
2001-04-01,43.750000,48.349998,42.595001,48.240002,30.230303,209600800
2001-05-01,48.299999,51.000000,47.910000,48.474998,30.377575,184641400
2001-06-01,48.480000,54.200001,48.299999,49.959999,31.533682,187599900
2001-07-01,50.099998,54.980000,50.000000,54.099998,34.146751,164167000
2001-08-01,54.099998,57.599998,52.299999,52.709999,33.269417,163136000
2001-09-01,55.349998,57.160000,50.200001,55.400002,35.082333,176432200
2001-10-01,55.400002,59.660000,53.049999,57.910000,36.671799,181677000
2001-11-01,57.580002,60.970001,57.509998,58.250000,36.887108,144831900
2001-12-01,57.820000,60.180000,55.419998,59.099998,37.537979,169195500
2002-01-01,58.900002,60.099998,56.599998,57.509998,36.528084,131885400
2002-02-01,57.259998,60.970001,54.700001,60.900002,38.681293,131715000
2002-03-01,60.900002,65.889999,60.599998,64.949997,41.381901,154776300
2002-04-01,64.199997,65.290001,61.779999,63.860001,40.687428,160057900
2002-05-01,63.970001,64.629997,59.160000,61.349998,39.088219,162571200
2002-06-01,61.099998,61.740002,52.000000,52.259998,33.409775,185599200
2002-07-01,51.700001,54.849998,41.400002,52.599998,33.627136,343494700
2002-08-01,53.000000,56.500000,49.750000,54.310001,34.720356,159253500
2002-09-01,53.880001,56.250000,51.450001,54.080002,34.700413,146893100
2002-10-01,54.950001,61.299999,54.299999,58.750000,37.696907,223245600
2002-11-01,58.330002,61.240002,56.299999,57.020000,36.586845,134767300
2002-12-01,56.590000,57.070000,53.000000,53.709999,34.580254,143258800
2003-01-01,54.250000,57.549999,51.540001,53.610001,34.515842,157116600
2003-02-01,53.500000,53.950001,49.099998,52.450001,33.769024,139008100
2003-03-01,53.160000,58.680000,51.500000,57.869999,37.411972,160153900
2003-04-01,57.869999,59.080002,53.950001,56.360001,36.435791,159363100
2003-05-01,56.360001,57.520000,52.549999,54.349998,35.136356,161675800
2003-06-01,54.349998,55.570000,50.750000,51.700001,33.568493,216949500
2003-07-01,51.700001,54.240002,50.549999,51.790001,33.626934,180959900
2003-08-01,50.950001,52.250000,49.000000,49.580002,32.191994,154672000
2003-09-01,49.779999,52.500000,49.090000,49.520000,32.305058,197900400
2003-10-01,49.709999,51.150002,48.049999,50.330002,32.833481,200619900
2003-11-01,50.080002,52.889999,48.259998,49.299999,32.161545,164719400
2003-12-01,50.299999,51.740002,48.790001,51.660000,33.862553,185895500
2004-01-01,51.660000,54.040001,50.430000,53.419998,35.016212,172050600
2004-02-01,53.410000,54.900002,52.790001,53.910000,35.337410,126994200
2004-03-01,54.490002,54.490002,49.250000,50.720001,33.393028,172924700
2004-04-01,51.049999,54.770000,49.900002,54.029999,35.572285,166843100
2004-05-01,54.220001,56.389999,54.020000,55.709999,36.678368,140688600
2004-06-01,55.230000,57.279999,54.500000,55.700001,36.863037,125332400
2004-07-01,55.349998,58.139999,54.430000,55.270000,36.578472,141900800
2004-08-01,55.000000,58.099998,54.369999,58.099998,38.451378,107083900
2004-09-01,58.000000,58.799999,56.090000,56.330002,37.469677,110410900
2004-10-01,56.389999,58.480000,54.810001,58.380001,38.833294,139893100
2004-11-01,58.349998,61.490002,57.810001,60.320000,40.123726,123981200
2004-12-01,60.330002,64.250000,59.599998,63.419998,42.385136,173950700
2005-01-01,63.349998,64.980003,61.200001,64.699997,43.240593,136191800
2005-02-01,64.610001,66.889999,64.519997,65.599998,43.842087,107556700
2005-03-01,66.470001,68.680000,66.120003,67.160004,45.078941,158100100
2005-04-01,67.320000,69.989998,66.650002,68.629997,46.065643,158634500
2005-05-01,68.680000,68.870003,66.760002,67.099998,45.038666,125789400
2005-06-01,67.099998,67.610001,64.430000,65.000000,43.842976,162476400
2005-07-01,64.820000,65.430000,62.669998,63.959999,43.141495,149908400
2005-08-01,64.250000,65.349998,61.650002,63.389999,42.757019,138029400
2005-09-01,63.180000,65.330002,62.849998,63.279999,42.903198,139445700
2005-10-01,63.180000,64.599998,60.529999,62.619999,42.455730,224158000
2005-11-01,62.480000,63.779999,60.000000,61.750000,41.865864,241169500
2005-12-01,61.849998,62.060001,59.759998,60.099998,40.960587,189869600
2006-01-01,61.070000,63.099998,57.450001,57.540001,39.215847,220695200
2006-02-01,57.669998,59.709999,56.700001,57.650002,39.290810,183341700
2006-03-01,57.619999,61.099998,57.450001,59.220001,40.589447,181202600
2006-04-01,59.490002,59.759998,57.320000,58.610001,40.171349,171133300
2006-05-01,58.709999,60.930000,58.189999,60.220001,41.274849,196603700
2006-06-01,60.250000,62.000000,58.970001,59.919998,41.324142,199396300
2006-07-01,60.130001,63.000000,59.680000,62.549999,43.137936,134968800
2006-08-01,62.380001,65.129997,62.290001,64.660004,44.593117,150477100
2006-09-01,64.870003,65.040001,63.250000,64.940002,45.046097,128522300
2006-10-01,65.000000,69.410004,64.500000,67.400002,46.752491,189511300
2006-11-01,67.379997,69.029999,65.220001,65.910004,45.718960,196072100
2006-12-01,65.910004,67.250000,65.290001,66.019997,46.053902,157532600
2007-01-01,66.129997,68.220001,65.900002,66.800003,46.597992,175594400
2007-02-01,66.800003,67.150002,62.720001,62.930000,43.898392,192375400
2007-03-01,62.349998,62.930000,59.869999,60.259998,42.280613,318147400
