Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,43.764999,44.786182,43.546173,44.567360,33.871269,5014200
1999-12-02,44.932068,45.150890,44.348534,44.772499,34.027157,4170400
1999-12-03,45.807365,46.518547,45.588543,45.880310,34.869087,5294900
1999-12-06,45.807365,46.354427,45.460896,45.862072,34.855244,4376000
1999-12-07,46.172073,46.664433,45.606777,46.354427,35.229416,5984500
1999-12-08,46.245018,46.792080,45.807365,46.172073,35.090843,4095000
1999-12-09,46.190311,47.485023,46.190311,46.627960,35.437305,6647700
1999-12-10,47.193260,49.272095,46.992668,48.943859,37.197411,8087900
1999-12-13,49.126213,49.126213,47.995617,48.524445,36.878647,6142500
1999-12-14,47.703850,47.940910,46.828548,46.828548,35.589767,5542700
1999-12-15,46.682667,46.974434,46.135605,46.153839,35.076969,5426900
1999-12-16,45.862072,45.862072,44.239120,44.530888,33.843536,8383700
1999-12-17,45.169128,45.570305,44.749714,45.260303,34.397907,9532900
1999-12-20,45.661484,45.971485,44.676769,45.292194,34.422127,4604300
1999-12-21,44.859123,46.664433,44.567360,46.044426,34.993824,7574800
1999-12-22,45.971485,46.172073,45.333244,45.333244,34.453327,2708600
1999-12-23,45.333244,46.627960,45.333244,46.463840,35.312588,2968400
1999-12-27,46.482079,47.412083,46.172073,46.172073,35.090843,3095600
1999-12-28,46.317959,47.758556,46.263252,47.193260,35.866951,3937700
1999-12-29,47.412083,48.542679,47.375614,48.287384,36.698483,3229200
1999-12-30,48.287384,49.016800,48.068558,48.360325,36.753918,2989300
1999-12-31,48.287384,49.016800,48.287384,48.506207,36.864788,1164900
2000-01-03,47.995617,47.995617,45.515598,45.880310,34.869087,6471200
2000-01-04,45.315010,45.479130,43.509705,44.147945,33.552498,10440800
2000-01-05,43.910885,44.676769,42.962643,42.962643,32.818943,8646200
2000-01-06,42.452049,44.457947,42.452049,43.837940,33.487564,10990900
2000-01-07,43.983826,44.786182,43.327351,44.476181,33.975121,6016400
2000-01-10,44.640301,45.679718,44.312061,45.096184,34.448715,4906300
2000-01-11,45.041481,46.682667,44.859123,45.515598,34.769112,7158400
2000-01-12,45.497364,46.354427,44.767948,45.278538,34.588028,5816900
2000-01-13,45.661484,46.172073,45.005009,45.515598,34.769112,5831000
2000-01-14,46.080898,47.010902,46.007957,46.536785,35.549202,6290600
2000-01-18,46.099133,46.099133,44.202648,44.220886,33.780102,5867700
2000-01-19,44.786182,45.150890,43.400291,43.454998,33.195030,6608700
2000-01-20,43.837940,45.114422,43.290878,44.175282,33.745262,11311000
2000-01-21,44.640301,44.859123,44.038532,44.257355,33.807968,6310800
2000-01-24,45.005009,46.099133,43.947353,44.348534,33.877602,10029900
2000-01-25,44.239120,46.317959,44.239120,46.208546,35.298443,10150500
2000-01-26,46.682667,47.867970,46.536785,46.609726,35.604916,13196800
2000-01-27,46.974434,47.922676,46.700901,47.539730,36.315346,6235400
2000-01-28,47.010902,47.339142,46.026192,46.172073,35.270603,7210500
2000-01-31,45.807365,48.360325,45.752659,48.068558,36.719318,7406900
2000-02-01,48.013851,49.454449,47.795029,49.308567,37.666542,9279600
2000-02-02,49.162682,49.162682,47.740322,47.904438,36.593937,8956800
2000-02-03,47.995617,48.287384,46.865021,47.521496,36.301422,7454900
2000-02-04,47.521496,47.740322,46.865021,47.102081,35.981022,5155100
2000-02-07,47.102081,47.813263,46.956200,47.393848,36.203903,4470600
2000-02-08,47.703850,48.232677,47.485023,47.557968,36.329266,5268500
2000-02-09,47.521496,47.521496,45.223835,45.679718,34.894501,7182100
2000-02-10,45.697952,46.536785,44.822655,45.077950,34.434818,5986200
2000-02-11,45.223835,46.117371,44.330299,44.786182,34.211914,6520900
2000-02-14,44.786182,46.080898,44.786182,44.932068,34.323345,5418300
2000-02-15,45.005009,46.573254,44.877361,46.427372,35.465622,4668100
2000-02-16,45.661484,45.734425,44.385006,44.886463,34.288525,7616700
2000-02-17,45.005009,45.369717,41.686161,43.163231,32.972149,14201000
2000-02-18,43.144997,43.163231,39.497913,40.336742,30.813025,15618600
2000-02-22,40.701450,40.920277,40.154388,40.592037,31.008039,13781500
2000-02-23,40.555565,41.047924,39.880856,40.300270,30.785164,10902200
2000-02-24,40.154388,40.427917,37.601429,37.929668,28.974264,19860700
2000-02-25,38.257904,39.096733,36.179066,36.397892,27.804150,16576200
2000-02-28,36.908482,39.534382,36.908482,38.695553,29.559322,16359600
2000-02-29,39.680267,39.734974,38.367317,39.151440,29.907572,8560900
2000-03-01,39.972034,40.099682,38.567905,39.534382,30.200087,7788700
2000-03-02,39.972034,40.099682,38.622612,38.969086,29.768286,8707600
2000-03-03,40.190857,40.373211,38.294376,38.950851,29.754345,8775100
2000-03-06,38.950851,39.023792,37.528488,37.710842,28.807112,7299600
2000-03-07,37.783783,37.929668,36.215538,36.872013,28.166332,11151000
2000-03-08,36.944954,36.944954,35.322002,35.814358,27.358391,11361100
2000-03-09,36.142597,36.288479,34.866116,35.814358,27.358391,12839000
2000-03-10,35.923771,37.874962,35.540829,36.963188,28.235985,12432800
2000-03-13,36.106125,38.330845,35.704945,36.926720,28.208120,10198200
2000-03-14,37.856724,38.622612,37.309662,37.473782,28.626020,9381800
2000-03-15,37.564957,39.169674,37.109074,38.768497,29.615038,11197300
2000-03-16,39.972034,42.762051,39.826149,41.941460,32.038853,17287100
2000-03-17,41.576752,42.889702,41.157337,41.904987,32.010983,11811100
2000-03-20,42.306168,42.889702,41.120865,41.430866,31.648819,8829600
2000-03-21,41.430866,43.473232,40.409683,42.561462,32.512466,11703500
2000-03-22,42.780289,43.108524,41.832047,43.108524,32.930382,6373900
2000-03-23,43.108524,45.515598,42.379108,45.515598,34.769112,11305200
2000-03-24,45.479130,45.898544,44.877361,45.406189,34.685551,9741000
2000-03-27,45.369717,45.515598,43.509705,43.910885,33.543289,7037800
2000-03-28,43.655586,45.187363,43.454998,44.494415,33.989021,8031400
2000-03-29,44.385006,45.114422,43.546173,44.239120,33.794033,6100000
2000-03-30,44.202648,44.530888,43.144997,43.473232,33.208961,6803700
2000-03-31,43.327351,43.910885,42.743816,43.454998,33.195030,6340300
2000-04-03,43.692059,45.862072,43.600880,45.369717,34.657677,8983500
2000-04-04,45.369717,46.044426,41.631454,42.889702,32.763214,14593500
2000-04-05,42.597935,42.962643,41.813812,42.160282,32.206013,8735700
2000-04-06,42.014400,42.032635,40.865570,41.139099,31.425945,9322100
2000-04-07,41.248512,41.248512,40.446156,40.573803,30.994106,6879100
2000-04-10,40.573803,42.306168,40.318508,41.777340,31.913486,8168500
2000-04-11,42.123814,42.743816,41.139099,42.360874,32.359245,8784400
2000-04-12,42.670876,44.932068,42.652641,43.983826,33.599007,11771300
2000-04-13,43.983826,44.166180,42.306168,42.597935,32.540321,9081500
2000-04-14,41.868515,42.014400,38.458492,39.096733,29.865786,15655300
2000-04-17,38.804966,39.789680,38.476730,39.096733,29.865786,10543300
2000-04-18,39.461441,41.029686,39.388500,40.829098,31.189119,6599100
2000-04-19,40.701450,41.066158,40.209095,40.701450,31.091600,5586900
2000-04-20,40.628510,41.977928,40.464390,41.722633,32.060745,5357000
2000-04-24,41.649693,44.093239,41.430866,43.783234,33.644154,11306600
2000-04-25,44.056767,46.099133,44.038532,46.099133,35.423744,9650500
2000-04-26,46.099133,46.609726,45.077950,45.114422,34.667065,7974100
2000-04-27,44.494415,45.278538,43.764999,45.223835,34.751160,8248300
2000-04-28,45.223835,45.770897,43.619118,43.619118,33.518051,7877500
2000-05-01,43.655586,44.713242,42.725582,44.166180,33.938427,8790200
2000-05-02,44.166180,44.166180,43.035583,43.199703,33.195763,7036400
2000-05-03,43.072056,43.692059,40.847332,41.430866,31.836550,8556800
2000-05-04,41.832047,42.962643,41.740868,42.233227,32.453094,6946900
2000-05-05,42.233227,42.798523,41.284985,42.780289,32.873474,5857700
2000-05-08,42.306168,44.439709,42.269695,44.366768,34.092560,6339300
2000-05-09,44.366768,44.968536,43.072056,43.181465,33.181740,7276300
2000-05-10,43.327351,43.874413,41.613220,41.832047,32.144829,10161200
2000-05-11,41.795574,43.327351,41.576752,43.327351,33.293846,3806000
2000-05-12,42.999111,44.312061,42.889702,43.983826,33.798298,3613200
2000-05-15,44.202648,45.843838,43.929119,45.679718,35.101475,3887300
2000-05-16,46.007957,46.062664,44.695007,44.749714,34.386829,4043600
2000-05-17,44.640301,45.296776,43.983826,44.585594,34.260708,3567800
2000-05-18,44.421474,45.789131,44.421474,45.351482,34.849243,3115600
2000-05-19,44.476181,44.749714,43.546173,44.038532,33.840336,3258000
2000-05-22,43.983826,44.312061,42.616169,43.436764,33.377918,3427700
2000-05-23,43.108524,44.530888,43.108524,44.421474,34.134609,3483300
2000-05-24,44.421474,45.843838,43.217937,43.764999,33.630150,4939300
2000-05-25,43.764999,44.804420,42.452049,42.780289,32.873474,4409100
2000-05-26,43.108524,43.710293,42.616169,42.944405,32.999569,1971000
2000-05-30,43.436764,44.421474,43.436764,44.312061,34.050526,1958000
2000-05-31,44.366768,47.594437,43.983826,47.266201,36.320560,5440000
2000-06-01,47.102081,48.032089,46.390900,47.156788,36.236481,4736400
2000-06-02,48.852680,49.892101,48.579151,49.454449,38.002075,5285200
2000-06-05,49.235626,49.235626,47.977383,48.688564,37.413540,3301400
2000-06-06,48.469738,48.469738,46.828548,47.266201,36.320560,4159300
2000-06-07,47.485023,49.837395,47.430317,49.399742,37.960037,3259900
2000-06-08,49.180920,49.454449,48.141499,48.141499,36.993156,2928300
2000-06-09,48.579151,49.290333,46.828548,47.102081,36.194443,2784300
2000-06-12,47.047375,47.703850,46.828548,46.965271,36.089306,2644400
2000-06-13,47.047375,47.867970,46.226780,47.703850,36.656864,2826500
2000-06-14,47.922676,50.056217,47.813263,49.673275,38.170227,4399100
2000-06-15,49.345039,49.782688,47.211494,48.579151,37.329460,4454100
2000-06-16,48.579151,48.743267,44.968536,45.077950,34.639072,6841100
2000-06-19,45.679718,48.196205,45.460896,46.828548,35.984268,4895500
2000-06-20,46.172073,47.813263,46.172073,47.266201,36.320560,3512000
2000-06-21,47.320908,47.320908,45.625011,46.062664,35.395729,2462400
2000-06-22,45.843838,46.828548,45.460896,46.773842,35.942223,3638400
