Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,38.687500,39.916668,38.500000,39.687500,19.577669,2474400
1999-12-02,39.604168,40.250000,39.583332,39.880199,19.672733,2270700
1999-12-03,40.333332,41.125000,40.145832,40.333332,19.896257,1659900
1999-12-06,40.291668,41.145832,40.000000,40.229168,19.844872,2132700
1999-12-07,39.666668,40.083332,38.958332,39.333332,19.402964,2172000
1999-12-08,39.166668,40.000000,38.500000,39.812500,19.639334,2798700
1999-12-09,39.770832,40.375000,39.604168,40.020832,19.742102,2088600
1999-12-10,40.104168,40.541668,40.062500,40.375000,19.916809,1961100
1999-12-13,40.041668,41.062500,40.020832,40.692699,20.073524,2074500
1999-12-14,41.000000,42.312500,40.625000,41.104168,20.276501,2965500
1999-12-15,41.250000,42.750000,41.250000,42.645832,21.037003,2828400
1999-12-16,42.000000,42.000000,39.541668,40.625000,20.040133,6828300
1999-12-17,40.937500,41.729168,40.645832,41.250000,20.348442,5514000
1999-12-20,41.166668,41.166668,40.291668,40.729168,20.091516,2492100
1999-12-21,40.000000,42.000000,39.833332,41.395832,20.420382,4559700
1999-12-22,41.333332,41.812500,40.333332,41.812500,20.625925,3869400
1999-12-23,41.812500,42.125000,41.354168,41.541668,20.492334,1407300
1999-12-27,41.750000,43.500000,41.583332,43.125000,21.273369,3379200
1999-12-28,42.791668,44.666668,42.770832,43.854168,21.633072,16783200
1999-12-29,44.270832,45.395832,43.916668,44.750000,22.521782,2365500
1999-12-30,44.750000,45.125000,43.625000,43.750000,22.018499,1767000
1999-12-31,43.583332,44.833332,43.583332,44.541668,22.416927,1245000
2000-01-03,44.625000,44.916668,44.020832,44.208332,22.249168,1844700
2000-01-04,43.333332,43.833332,43.000000,43.000000,21.641035,2951400
2000-01-05,43.062500,44.395832,42.895832,44.395832,22.343525,5199600
2000-01-06,44.333332,47.166668,44.166668,45.645832,22.972622,6953400
2000-01-07,46.333332,46.979168,46.000000,46.666668,23.486397,4937700
2000-01-10,46.416668,46.645832,45.416668,45.479168,22.888756,2430000
2000-01-11,44.833332,45.312500,44.812500,45.041668,22.668568,1911900
2000-01-12,45.041668,46.166668,44.833332,45.916668,23.108934,4567500
2000-01-13,45.500000,46.437500,45.500000,46.000000,23.150875,3112200
2000-01-14,46.000000,46.645832,45.687500,46.333332,23.318636,3156600
2000-01-18,46.000000,46.083332,43.312500,43.437500,21.861229,3780300
2000-01-19,43.750000,44.395832,42.750000,43.062500,21.672489,4002300
2000-01-20,43.145832,43.145832,41.000000,41.932266,21.103662,3713100
2000-01-21,41.166668,41.479168,39.833332,40.708332,20.487694,5214900
2000-01-24,41.333332,42.166668,40.270832,42.104168,21.190180,3756900
2000-01-25,42.104168,42.208332,39.916668,40.687500,20.477192,4235400
2000-01-26,40.666668,41.479168,39.833332,40.416668,20.340891,3672600
2000-01-27,41.000000,41.500000,39.333332,39.687500,19.973919,4397100
2000-01-28,39.750000,39.812500,38.104168,38.250000,19.250458,4670100
2000-01-31,38.333332,38.895832,37.791668,38.833332,19.544041,3111300
2000-02-01,38.750000,40.229168,38.583332,39.958332,20.110226,3225000
2000-02-02,39.666668,39.833332,37.770832,38.375000,19.313368,4062000
2000-02-03,38.541668,38.666668,37.770832,38.333332,19.292385,3255900
2000-02-04,38.666668,38.708332,37.166668,37.395832,18.820568,2593800
2000-02-07,37.666668,37.750000,36.958332,37.166668,18.705240,3153000
2000-02-08,37.833332,37.833332,36.916668,37.187500,18.715723,2520300
2000-02-09,37.333332,37.645832,36.000000,36.104168,18.170504,3560100
2000-02-10,36.187500,36.250000,35.208332,35.312500,17.772078,3348900
2000-02-11,35.270832,35.916668,34.666668,35.250000,17.740618,3063600
2000-02-14,35.166668,36.000000,34.500000,35.270832,17.751102,4445400
2000-02-15,35.312500,36.645832,35.166668,36.312500,18.275354,5662500
2000-02-16,36.291668,36.500000,35.541668,35.750000,17.992258,2628600
2000-02-17,36.000000,36.250000,35.250000,35.895832,18.065651,2422800
2000-02-18,35.895832,35.895832,34.333332,34.916668,17.572861,2986200
2000-02-22,34.916668,38.354168,34.916668,38.041668,19.145605,3754800
2000-02-23,37.708332,38.000000,36.666668,36.916668,18.579416,3122700
2000-02-24,36.666668,36.687500,34.520832,35.895832,18.065651,2483100
2000-02-25,35.895832,35.895832,35.000000,35.270832,17.751102,2190000
2000-02-28,34.708332,36.791668,34.333332,35.854168,18.044678,3475500
2000-02-29,35.854168,36.500000,34.958332,36.166668,18.201962,2786400
2000-03-01,36.208332,36.250000,34.125000,34.458332,17.342182,2872200
2000-03-02,34.000000,34.166668,32.875000,33.166668,16.692116,3828000
2000-03-03,34.333332,37.562500,34.000000,36.583332,18.411654,5766300
2000-03-06,36.916668,37.145832,34.104168,34.729168,17.478491,4233000
2000-03-07,33.666668,34.208332,31.770834,32.000000,16.104958,6167100
2000-03-08,32.437500,33.312500,30.666666,32.708332,16.461454,6713100
2000-03-09,31.833334,32.416668,31.333334,31.958334,16.083981,3869100
