Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,43.764999,49.272095,43.546173,48.506207,36.864788,110972100
2000-01-01,47.995617,48.360325,42.452049,48.068558,36.532185,156896900
2000-02-01,48.013851,49.454449,36.179066,39.151440,29.907572,193838500
2000-03-01,39.972034,45.898544,34.866116,43.454998,33.195030,222496800
2000-04-01,43.692059,46.609726,38.458492,43.619118,33.320412,175118200
2000-05-01,43.655586,47.594437,40.847332,47.266201,36.320560,111884700
2000-06-01,47.102081,50.056217,44.640301,45.625011,35.059429,85591000
2000-07-01,44.530888,52.299175,44.366768,49.618568,38.128181,76436400
2000-08-01,49.892101,52.900944,48.797974,51.656353,39.763458,77581600
2000-09-01,52.080349,54.487427,48.907387,53.174477,40.932064,65077600
2000-10-01,53.393299,55.143902,44.312061,52.518002,40.426727,113791600
2000-11-01,52.408588,53.776245,43.819706,48.086792,37.070801,84736200
2000-12-01,49.235626,50.822105,44.585594,48.086792,37.070801,100404200
2001-01-01,47.703850,49.946808,38.677319,41.226631,31.782206,190623400
2001-02-01,41.226631,43.721233,36.666317,38.408165,29.661545,111416500
2001-03-01,38.058044,39.537300,29.760201,36.149891,27.917549,208518400
2001-04-01,33.217636,39.388500,31.475788,37.147732,28.688148,140442100
2001-05-01,36.928905,40.745216,35.449650,36.867638,28.540504,120791200
2001-06-01,36.867638,37.681664,33.375191,33.961639,26.290882,126567200
2001-07-01,34.136700,35.712238,32.035980,35.300850,27.327602,101111200
2001-08-01,35.344612,36.692577,31.073151,31.878426,24.735401,100525400
2001-09-01,31.598330,32.604923,21.182261,25.436218,19.736710,208373200
2001-10-01,25.296169,28.175907,23.361757,25.760078,19.987993,156553600
2001-11-01,25.506243,30.863077,25.226147,28.806124,22.422182,116396200
2001-12-01,28.315954,31.808401,27.773270,31.239456,24.316246,113447600
2002-01-01,31.204445,33.383942,29.200008,31.379505,24.425255,113561500
2002-02-01,30.793055,32.561161,28.464756,31.904684,24.897806,106068700
2002-03-01,31.913439,37.375309,31.642096,35.852287,27.978439,125175500
2002-04-01,35.414639,38.408165,34.443054,35.896053,28.012594,126110300
2002-05-01,35.957325,39.309723,35.335861,37.209003,29.103928,105836600
2002-06-01,37.322792,37.707924,30.224110,31.790895,24.866016,134828300
2002-07-01,32.079746,33.243893,23.563076,30.863077,24.140305,170908600
2002-08-01,30.066555,33.672791,26.434059,31.563318,24.748978,113412200
2002-09-01,31.116915,31.642096,26.477825,27.291855,21.399694,112592200
2002-10-01,27.396891,31.948450,23.239216,31.834661,24.961735,167908800
2002-11-01,31.659601,34.871952,30.154085,34.075428,26.793568,116743400
2002-12-01,34.084183,34.793175,30.224110,30.941854,24.329641,83399700
2003-01-01,31.335739,34.092934,28.491014,31.099409,24.516359,110467600
2003-02-01,31.204445,31.633343,27.939575,29.392574,23.170828,96466300
2003-03-01,29.585140,33.243893,27.046770,29.086220,22.929321,140441900
2003-04-01,29.094973,33.699051,28.762358,33.138859,26.124105,126486100
2003-05-01,33.138859,36.937660,32.386101,36.464996,28.824535,132451600
2003-06-01,36.762600,39.248451,36.596294,36.596294,28.928324,111964500
2003-07-01,36.184902,40.570156,35.922314,38.662003,30.561193,107871300
2003-08-01,38.644493,40.613918,37.077709,39.432266,31.255470,87439200
2003-09-01,39.458523,41.532986,39.012119,39.441017,31.262405,105006000
2003-10-01,39.598572,42.985985,39.493538,41.077827,32.559818,98249900
2003-11-01,41.462959,41.856846,38.101810,40.009964,31.793997,102298400
2003-12-01,40.255047,42.452049,39.213440,42.215717,33.546795,97567700
2004-01-01,42.390778,45.489342,41.515480,45.375553,36.142895,109087000
2004-02-01,45.419315,47.703850,45.410564,46.758526,37.244492,100767800
2004-03-01,46.758526,47.187424,43.449890,45.384304,36.149883,134057200
2004-04-01,45.384304,46.233345,42.653370,42.845936,34.203274,112814400
2004-05-01,42.880947,44.797855,41.419197,44.377708,35.426064,93524000
2004-06-01,44.333946,45.673153,43.983826,44.972916,35.901211,78125300
2004-07-01,44.964161,45.314281,41.751808,43.983826,35.190063,94394900
2004-08-01,43.589939,44.202648,43.126030,43.782505,35.028976,74198000
2004-09-01,43.764999,45.288021,43.633705,45.042938,36.037418,72732500
2004-10-01,45.051689,46.776031,44.517757,46.452171,37.164898,83862800
2004-11-01,46.452171,49.454449,46.189583,48.762962,39.115334,87003600
2004-12-01,48.797974,49.935863,47.660084,49.340660,39.578720,80249900
2005-01-01,49.541981,49.830830,45.156727,46.697254,37.458305,107439900
2005-02-01,48.736706,50.793659,46.986103,47.397495,38.114899,129022700
2005-03-01,47.222435,48.526630,43.773754,44.964161,36.158131,143023500
2005-04-01,45.428070,46.128311,43.336102,46.128311,37.194439,121053200
2005-05-01,45.979507,47.283707,45.077950,47.134907,38.006096,90853500
2005-06-01,46.959846,48.404091,46.469677,46.592220,37.568501,97304900
2005-07-01,46.793537,48.675434,45.778191,48.141499,38.916527,102962700
2005-08-01,48.141499,49.848335,47.835144,48.351570,39.086338,105238500
2005-09-01,48.255287,52.080349,47.957687,50.277233,40.643013,154678600
2005-10-01,50.750000,51.480000,46.590000,49.770000,40.232967,139098000
2005-11-01,49.799999,53.060001,48.209999,51.419998,41.666939,160047300
2005-12-01,51.919998,52.720001,50.400002,51.459999,41.699348,96168100
2006-01-01,51.700001,53.990002,51.049999,52.450001,42.501556,125762500
2006-02-01,52.450001,55.000000,51.650002,53.880001,43.760193,83315000
2006-03-01,53.950001,55.000000,51.759998,52.549999,42.679996,97873600
2006-04-01,52.810001,54.139999,50.919998,53.810001,43.703354,86435600
2006-05-01,53.880001,54.520000,51.330002,54.360001,44.249813,125793800
2006-06-01,54.500000,54.910000,52.000000,53.220001,43.321835,103408000
2006-07-01,53.240002,53.869999,49.730000,52.060001,42.377567,101652000
2006-08-01,51.919998,53.720001,51.189999,52.540001,42.888187,83478800
2006-09-01,52.560001,56.189999,51.490002,56.080002,45.777870,95940300
2006-10-01,56.080002,58.430000,55.000000,57.810001,47.190067,141825100
2006-11-01,58.000000,59.930000,57.000000,58.720001,48.061672,102996600
2006-12-01,58.799999,62.500000,58.000000,60.669998,49.657703,88634700
2007-01-01,61.180000,61.900002,57.139999,58.220001,47.652412,117260700
2007-02-01,58.299999,59.150002,54.500000,56.869999,46.662811,108102800
2007-03-01,56.200001,57.910000,53.910000,56.400002,46.277187,136389000
2007-04-01,56.400002,62.740002,55.340000,60.669998,49.780777,139656800
2007-05-01,60.500000,65.099998,60.400002,64.980003,53.460793,108627900
2007-06-01,65.000000,65.239998,60.369999,61.180000,50.334415,112275700
2007-07-01,61.459999,65.889999,58.380001,58.540001,48.162411,168563400
2007-08-01,58.450001,63.880001,55.500000,58.619999,48.345585,244395000
2007-09-01,58.730000,62.270000,57.320000,59.369999,48.964142,136541600
2007-10-01,59.150002,63.630001,55.599998,60.950001,50.267220,190447900
2007-11-01,60.330002,60.490002,53.360001,58.980000,48.763165,221983200
2007-12-01,58.490002,59.790001,50.369999,52.020000,43.008816,188658600
2008-01-01,52.090000,52.320000,41.150002,49.130001,40.619434,344053700
2008-02-01,48.880001,50.040001,42.139999,42.299999,35.093994,199425300
2008-03-01,42.200001,48.750000,39.500000,43.720001,36.272099,231292900
2008-04-01,44.900002,48.970001,42.110001,48.020000,39.839569,198222200
2008-05-01,48.330002,52.630001,45.049999,46.349998,38.603584,204823400
2008-06-01,46.250000,47.470001,37.610001,37.669998,31.374250,299867500
2008-07-01,37.950001,42.500000,35.099998,37.119999,30.916189,427436900
2008-08-01,37.180000,40.470001,35.930000,39.680000,33.192120,259774200
2008-09-01,40.750000,41.799999,31.680000,35.430000,29.637030,405306700
2008-10-01,34.910000,35.799999,20.500000,27.500000,23.003616,470465400
2008-11-01,27.309999,30.260000,16.549999,23.309999,19.598269,400723100
2008-12-01,22.389999,24.860001,17.510000,18.549999,15.596216,314843600
2009-01-01,18.570000,21.379999,14.720000,16.730000,14.066030,365774600
2009-02-01,16.350000,18.270000,11.440000,12.060000,10.227015,439240000
2009-03-01,11.680000,15.240000,9.710000,13.630000,11.558393,663272400
2009-04-01,13.340000,26.330000,13.080000,25.219999,21.386841,753595900
2009-05-01,24.940001,28.450001,23.049999,24.850000,21.355101,513617500
2009-06-01,25.549999,27.400000,22.410000,23.240000,19.971531,441662300
2009-07-01,23.490000,30.000000,22.000000,28.330000,24.529644,405481400
2009-08-01,28.900000,34.500000,28.129999,33.820000,29.283186,279343200
2009-09-01,33.580002,36.500000,31.680000,33.900002,29.352449,250193200
2009-10-01,33.849998,37.169998,31.690001,34.840000,30.326956,287819700
2009-11-01,34.950001,42.200001,34.630001,41.830002,36.411495,240181800
2009-12-01,42.209999,42.250000,38.790001,40.520000,35.271194,193368700
2010-01-01,40.810001,43.250000,36.830002,37.660000,32.781673,233778400
2010-02-01,37.840000,39.630001,36.599998,38.189999,33.387856,182316200
2010-03-01,38.200001,42.279999,37.860001,41.259998,36.071819,183005200
2010-04-01,41.680000,49.189999,41.360001,46.119999,40.496433,224527200
2010-05-01,46.209999,47.369999,37.360001,39.869999,35.008518,316645600
2010-06-01,39.180000,43.139999,37.130001,39.700001,34.859253,248059000
2010-07-01,39.549999,45.680000,38.419998,44.639999,39.373688,195904500
2010-08-01,45.009998,45.200001,39.139999,39.869999,35.166420,180947900
2010-09-01,40.549999,43.930000,39.759998,42.029999,37.071590,213981000
2010-10-01,42.369999,42.560001,37.330002,41.459999,36.568848,383508900
2010-11-01,41.490002,44.270000,41.349998,43.220001,38.301327,185665800
2010-12-01,43.840000,46.779999,41.250000,42.919998,38.035461,203583700
2011-01-01,43.299999,46.709999,43.110001,43.380001,38.443108,181823600
2011-02-01,43.540001,46.930000,43.009998,43.570000,38.770260,162975100
2011-03-01,43.700001,46.290001,42.189999,45.200001,40.220707,161901000
2011-04-01,45.700001,49.150002,45.099998,49.080002,43.673275,132384700
2011-05-01,49.369999,51.970001,49.169998,51.599998,46.098366,150391500
2011-06-01,51.310001,51.820000,46.919998,51.700001,46.187698,155151400
2011-07-01,51.689999,53.799999,49.540001,50.040001,44.866802,122374900
2011-08-01,50.490002,50.610001,42.029999,49.709999,44.570892,253292100
2011-09-01,49.639999,50.529999,44.869999,44.900002,40.258171,180539400
2011-10-01,44.520000,52.349998,41.299999,50.619999,45.386826,216452700
2011-11-01,49.580002,51.820000,44.700001,48.040001,43.252819,144928800
2011-12-01,47.700001,49.389999,45.889999,47.169998,42.469517,125137900
2012-01-01,48.299999,51.000000,47.400002,50.139999,45.143555,127316500
2012-02-01,50.369999,54.450001,50.270000,52.889999,47.797306,120114000
2012-03-01,53.029999,59.259998,51.540001,57.860001,52.288750,139018900
2012-04-01,57.900002,60.959999,56.139999,60.209999,54.412487,130045000
2012-05-01,59.950001,61.419998,54.799999,55.830002,50.628784,130999300
2012-06-01,54.619999,58.209999,53.180000,58.209999,52.787048,115585100
2012-07-01,58.509998,59.730000,54.349998,57.709999,52.333630,115339800
2012-08-01,57.520000,58.439999,55.369999,58.299999,53.048347,99516100
2012-09-01,58.310001,59.369999,56.049999,56.860001,51.738064,102389100
2012-10-01,57.180000,59.400002,54.950001,55.970001,50.928226,110170500
2012-11-01,56.150002,57.480000,53.020000,55.900002,51.043064,112897900
2012-12-01,56.090000,58.349998,55.470001,57.480000,52.485790,103366200
2013-01-01,58.330002,61.970001,58.310001,58.810001,53.700226,122718400
2013-02-01,59.330002,63.000000,59.209999,62.150002,56.948181,107254600
2013-03-01,61.840000,67.480003,61.509998,67.459999,61.813744,101367800
2013-04-01,67.419998,69.050003,63.430000,68.410004,62.684216,121827000
2013-05-01,68.250000,77.389999,68.160004,75.709999,69.578972,121571700
2013-06-01,75.889999,78.610001,71.680000,74.760002,68.705887,121769400
2013-07-01,75.529999,78.629997,73.470001,73.769997,67.796059,126314000
2013-08-01,74.529999,77.269997,71.470001,71.910004,66.288269,69917600
2013-09-01,72.589996,77.900002,72.139999,75.519997,69.616028,74592300
2013-10-01,75.639999,83.830002,72.080002,81.800003,75.405106,102592600
2013-11-01,82.120003,86.190002,80.220001,85.800003,79.332680,62754400
2013-12-01,86.019997,90.790001,83.209999,90.730003,83.891060,67589400
2014-01-01,90.900002,93.620003,84.910004,85.019997,78.611465,104874000
2014-02-01,84.989998,92.139999,82.629997,91.279999,84.617401,76173800
2014-03-01,90.599998,94.349998,89.160004,90.029999,83.458641,71488400
2014-04-01,90.400002,91.400002,83.989998,87.430000,81.048424,84786400
2014-05-01,87.529999,91.680000,85.750000,91.500000,85.035858,65091900
2014-06-01,91.790001,96.040001,91.269997,94.870003,88.167786,60522000
2014-07-01,95.419998,96.239998,87.989998,88.000000,81.783134,68452900
2014-08-01,87.410004,90.220001,85.750000,89.550003,83.453072,83077800
2014-09-01,89.900002,90.680000,86.760002,87.540001,81.579918,85326800
2014-10-01,86.900002,90.599998,78.410004,89.949997,83.825836,120825700
2014-11-01,90.320000,92.589996,89.650002,92.419998,86.384232,62030800
2014-12-01,92.070000,94.889999,88.190002,93.040001,86.963737,81719400
2015-01-01,93.169998,93.940002,80.559998,80.690002,75.420319,122710700
2015-02-01,80.959999,86.180000,77.120003,81.589996,76.485893,211849700
2015-03-01,81.589996,83.540001,77.620003,78.120003,73.232979,154136200
2015-04-01,78.050003,81.169998,76.529999,77.449997,72.847557,133795200
2015-05-01,77.849998,81.599998,77.309998,79.720001,74.982674,103381700
2015-06-01,79.940002,81.919998,77.650002,77.720001,73.101509,141751900
2015-07-01,78.639999,79.629997,74.300003,76.059998,71.807823,117895600
2015-08-01,75.860001,81.660004,71.709999,76.720001,72.430916,154783400
2015-09-01,74.849998,78.400002,72.660004,74.129997,69.985710,110113300
2015-10-01,74.160004,77.849998,71.389999,73.260002,69.164352,122063000
2015-11-01,73.430000,74.849998,70.209999,71.639999,67.890907,106832200
2015-12-01,72.000000,72.440002,67.570000,69.550003,65.910294,124047200
2016-01-01,68.089996,68.180000,52.150002,53.500000,50.700222,237298000
2016-02-01,53.410000,56.150002,50.270000,55.580002,52.901901,159538200
2016-03-01,56.029999,61.520000,55.619999,61.400002,58.441471,129839600
2016-04-01,60.980000,67.339996,58.700001,65.430000,62.277279,99786000
2016-05-01,65.580002,66.050003,62.320000,65.760002,62.894417,96718800
2016-06-01,65.760002,66.599998,57.150002,60.759998,58.112293,121804700
2016-07-01,60.759998,64.970001,58.250000,64.459999,61.961407,90055100
2016-08-01,64.489998,66.279999,63.200001,65.580002,63.037991,77463200
2016-09-01,65.550003,66.709999,62.849998,64.040001,61.557682,95454000
2016-10-01,63.830002,67.930000,59.500000,66.419998,63.845425,116115900
2016-11-01,66.769997,73.180000,65.029999,72.040001,69.596046,99266700
2016-12-01,72.449997,75.739998,71.430000,74.080002,71.566856,75158800
2017-01-01,74.889999,78.019997,74.739998,76.379997,73.788818,103868400
2017-02-01,76.849998,80.489998,76.059998,80.059998,77.673836,65806200
2017-03-01,81.050003,82.000000,76.669998,79.110001,76.752159,98700800
2017-04-01,79.169998,81.400002,75.510002,79.250000,76.887993,77884300
2017-05-01,79.220001,79.660004,75.970001,76.940002,74.953316,66075700
2017-06-01,77.230003,85.389999,76.949997,84.239998,82.064827,77467900
2017-07-01,84.690002,86.279999,83.330002,85.230003,83.029259,71355200
2017-08-01,85.720001,87.779999,83.970001,86.099998,84.193375,66388800
2017-09-01,86.309998,90.769997,84.019997,90.459999,88.456833,64969800
2017-10-01,90.440002,96.120003,90.040001,95.519997,93.404785,77019400
2017-11-01,96.290001,98.489998,92.779999,97.709999,95.915154,61227900
2017-12-01,98.080002,100.529999,95.849998,99.309998,97.485764,65046400
2018-01-01,99.730003,102.389999,96.349998,99.400002,97.574120,81892200
2018-02-01,98.949997,102.120003,87.540001,97.510002,96.056549,88312400
2018-03-01,97.820000,99.699997,90.410004,93.279999,91.889595,78495700
2018-04-01,93.139999,102.959999,89.959999,98.750000,97.278061,84082200
2018-05-01,98.820000,103.239998,95.510002,98.300003,97.198311,61221700
2018-06-01,99.339996,102.389999,95.650002,98.000000,96.901665,83248200
2018-07-01,97.400002,104.239998,97.160004,99.519997,98.404633,76267100
2018-08-01,99.900002,107.430000,98.669998,105.980003,105.168457,52885200
2018-09-01,106.349998,111.769997,104.550003,106.489998,105.674545,59450500
2018-10-01,107.809998,109.400002,100.040001,102.730003,101.943344,88321800
2018-11-01,103.260002,113.180000,102.889999,112.269997,111.812378,72184900
2018-12-01,113.989998,114.550003,89.050003,95.320000,94.931473,96451500
