Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,27.490139,29.585798,26.750494,28.846153,22.879309,166963100
2000-01-01,28.846153,37.475346,28.353058,35.811146,28.403585,247148200
2000-02-01,35.811146,38.461540,30.571993,33.530571,26.594744,144243600
2000-03-01,33.530571,41.913216,32.544380,40.680473,32.265686,185129400
2000-04-01,40.680473,43.022682,36.550789,43.022682,34.123413,111171100
2000-05-01,43.022682,43.269230,37.660255,41.605030,32.998993,110581200
2000-06-01,41.605030,41.974854,37.228798,38.276627,30.359076,87998900
2000-07-01,38.153355,38.769722,34.886589,38.030079,30.163530,86348600
2000-08-01,38.461540,42.406311,36.920612,38.415287,30.469051,103324500
2000-09-01,38.415287,40.927021,36.304241,37.721893,29.919085,69114500
2000-10-01,37.968441,41.358482,33.037476,35.318047,28.012480,112396100
2000-11-01,35.318047,37.721893,27.490139,28.537968,22.634871,137952900
2000-12-01,28.722879,31.558186,25.641026,28.537968,22.634871,114942400
2001-01-01,28.044872,33.530571,27.243589,30.029585,23.984371,137020500
2001-02-01,30.029585,32.524654,29.191322,30.522682,24.378202,105904900
2001-03-01,30.522682,30.571993,25.700197,28.205128,22.527197,137206700
2001-04-01,28.205128,31.558186,26.104536,29.832348,23.826841,106111600
2001-05-01,29.861933,34.319527,29.437870,31.183432,24.905935,118310000
2001-06-01,31.183432,31.962524,26.972387,28.491125,22.755617,102721800
2001-07-01,28.491125,28.619329,25.670612,25.986193,20.754951,118287700
2001-08-01,26.183432,27.593689,24.082840,25.078896,20.030294,115736500
2001-09-01,24.753452,25.690336,15.285996,18.362919,14.666304,310868300
2001-10-01,18.362919,20.207100,17.564102,18.333334,14.642674,185216400
2001-11-01,18.382643,21.607494,17.800789,20.187376,16.123487,204365100
2001-12-01,20.187376,22.583826,19.230770,20.433926,16.320402,167588000
2002-01-01,20.611441,23.274162,19.743589,20.769230,16.766724,165730800
2002-02-01,22.140039,24.260355,20.907297,22.682446,18.311234,162029800
