Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,53.125000,69.750000,52.916668,68.750000,47.494015,139004800
2000-01-01,68.625000,69.187500,54.875000,56.625000,39.117798,134837200
2000-02-01,56.937500,62.000000,52.625000,57.500000,39.722248,125200600
2000-03-01,57.812500,69.562500,51.000000,64.500000,44.558022,147000700
2000-04-01,65.500000,70.000000,55.312500,56.500000,39.060440,108585200
2000-05-01,56.500000,57.937500,44.125000,49.000000,33.875435,145181700
2000-06-01,49.000000,54.000000,45.000000,49.937500,34.523556,131944300
2000-07-01,49.687500,58.750000,48.625000,51.750000,35.807732,92784800
2000-08-01,51.937500,60.000000,48.000000,48.062500,33.256233,145390600
2000-09-01,49.000000,56.187500,48.062500,52.937500,36.658749,105695500
2000-10-01,53.937500,56.812500,34.687500,43.000000,29.777107,269631700
2000-11-01,43.000000,44.312500,35.437500,39.187500,27.136988,159686700
2000-12-01,39.250000,47.437500,38.750000,45.687500,31.670868,175587400
2001-01-01,45.687500,52.500000,40.937500,48.200001,33.412548,224446800
2001-02-01,47.520000,48.900002,39.619999,42.500000,29.461283,141499800
2001-03-01,42.400002,45.500000,38.110001,43.099998,29.877197,179137300
2001-04-01,43.099998,48.500000,40.049999,47.099998,32.681591,139696600
2001-05-01,47.009998,53.730000,46.750000,49.290001,34.201172,143446900
2001-06-01,49.000000,51.450001,46.549999,47.240002,32.778717,118961200
2001-07-01,46.990002,50.900002,44.599998,50.369999,34.978157,106056100
2001-08-01,50.369999,50.700001,45.270000,45.950001,31.908781,124733500
2001-09-01,45.820000,48.000000,30.299999,38.369999,26.666819,193174700
2001-10-01,38.119999,43.119999,37.099998,38.230000,26.569527,173826200
2001-11-01,38.230000,47.230000,37.470001,46.650002,32.421337,172422800
2001-12-01,46.660000,52.040001,46.250000,51.009998,35.531475,134069300
2002-01-01,51.009998,51.650002,46.900002,50.090000,34.890640,129964900
2002-02-01,50.000000,52.599998,48.349998,50.000000,34.827946,129384000
2002-03-01,50.279999,50.500000,47.099998,48.610001,33.859741,154230200
2002-04-01,48.150002,50.459999,46.000000,46.369999,32.332882,131218600
