Date,Open,High,Low,Close,Adj Close,Volume
1999-12-01,77.750000,78.125000,66.062500,67.187500,32.488861,110562800
2000-01-01,68.625000,79.000000,64.750000,78.625000,38.160152,127423900
2000-02-01,77.375000,78.375000,59.187500,61.562500,29.878963,133126800
2000-03-01,61.500000,65.937500,52.000000,62.125000,30.151964,186338800
2000-04-01,62.375000,72.812500,61.875000,69.500000,33.891052,120776200
2000-05-01,69.500000,75.375000,66.750000,74.625000,36.390202,94935900
2000-06-01,74.062500,76.734299,68.687500,76.625000,37.510529,97918300
2000-07-01,76.062500,77.375000,63.000000,71.656197,35.078121,123607200
2000-08-01,71.125000,75.437500,69.875000,69.890602,34.213821,79607700
2000-09-01,69.062500,74.875000,65.000000,74.437500,36.614548,84915800
2000-10-01,74.312500,90.000000,72.875000,89.937500,44.238735,143477900
2000-11-01,90.000000,96.687500,86.312500,92.687500,45.591412,146738900
2000-12-01,91.500000,95.937500,88.125000,93.625000,46.052525,118397100
2001-01-01,93.375000,95.250000,78.562500,82.180000,40.576252,145525200
2001-02-01,82.750000,85.550003,76.400002,80.199997,39.598614,98160000
2001-03-01,80.500000,81.029999,66.000000,75.900002,37.475494,131672500
2001-04-01,75.400002,80.849998,72.000000,75.970001,37.675457,112501100
2001-05-01,75.150002,79.160004,71.760002,72.989998,36.197598,100152000
2001-06-01,72.000000,75.849998,63.650002,63.910000,31.842342,122140200
2001-07-01,64.050003,69.000000,60.349998,67.980003,33.870171,137594500
2001-08-01,67.510002,71.500000,64.760002,65.099998,32.435238,99197800
2001-09-01,65.199997,69.239998,60.849998,66.599998,33.356491,117869500
2001-10-01,66.849998,70.599998,63.799999,63.810001,31.959118,110665200
2001-11-01,63.810001,68.129997,63.419998,67.750000,33.932453,100663000
2001-12-01,67.150002,68.570000,56.799999,58.799999,29.449860,176851900
2002-01-01,59.150002,59.880001,56.709999,59.180000,29.794378,137696200
2002-02-01,59.020000,62.480000,57.700001,61.330002,30.876802,102661600
2002-03-01,61.360001,64.500000,56.980000,57.580002,28.988855,142506400
2002-04-01,57.630001,57.799999,51.000000,54.340000,27.513468,183171600
2002-05-01,54.049999,58.849998,54.009998,57.099998,28.910906,118996300
2002-06-01,57.049999,57.189999,47.599998,50.639999,25.640079,148994400
2002-07-01,50.889999,51.090000,38.500000,49.599998,25.275373,243775300
2002-08-01,49.360001,54.000000,45.349998,50.520000,25.744188,120721100
2002-09-01,49.450001,50.330002,44.439999,45.709999,23.293091,115605400
2002-10-01,46.299999,55.240002,43.349998,54.240002,27.849287,175238500
2002-11-01,53.500000,60.480000,51.799999,59.410000,30.503784,156086000
2002-12-01,60.450001,60.450001,55.160000,56.610001,29.066153,137509400
2003-01-01,57.580002,60.240002,51.500000,55.389999,28.614872,126663800
2003-02-01,55.400002,56.310001,51.599998,52.750000,27.251038,95217700
2003-03-01,53.349998,56.849998,49.900002,54.779999,28.299753,121485900
2003-04-01,55.099998,59.549999,54.650002,58.180000,30.267340,128384400
2003-05-01,58.180000,59.880001,54.099998,55.580002,28.914726,133527600
2003-06-01,55.799999,63.500000,55.630001,60.549999,31.500294,138340200
2003-07-01,60.500000,62.689999,55.029999,55.279999,28.943718,137316200
2003-08-01,55.009998,56.049999,49.480000,50.320000,26.346766,136645500
2003-09-01,50.150002,54.299999,50.110001,50.619999,28.003021,127555600
2003-10-01,50.759998,51.950001,43.880001,44.250000,24.657768,203759200
2003-11-01,44.250000,47.150002,40.570000,40.599998,22.623857,243270600
2003-12-01,41.250000,46.299999,41.169998,46.200001,25.744387,193220300
2004-01-01,48.880001,48.880001,45.500000,47.599998,26.757460,177326500
2004-02-01,47.880001,49.330002,47.360001,48.080002,27.027294,130519000
2004-03-01,48.419998,48.599998,42.849998,44.189999,24.840597,170149400
2004-04-01,44.549999,47.599998,44.279999,47.000000,26.626516,126639900
2004-05-01,47.009998,48.410000,45.830002,47.299999,26.796473,102342900
2004-06-01,47.400002,48.779999,46.880001,47.500000,26.909771,111659200
2004-07-01,47.650002,47.730000,44.250000,45.349998,25.889835,113875100
2004-08-01,45.299999,47.000000,43.459999,44.970001,25.672894,108660600
2004-09-01,44.590000,45.990002,32.459999,33.000000,18.839342,254528900
2004-10-01,33.689999,34.320000,29.750000,31.309999,18.026873,464902600
2004-11-01,29.340000,29.799999,25.600000,28.020000,16.132643,574756400
2004-12-01,27.850000,32.660000,27.320000,32.139999,18.504749,351847500
2005-01-01,31.990000,32.230000,27.480000,28.049999,16.371952,260178300
2005-02-01,28.059999,32.610001,27.780001,31.700001,18.502344,264624900
2005-03-01,32.060001,32.599998,31.100000,32.369999,18.893400,165177800
2005-04-01,32.669998,36.259998,31.980000,33.900002,20.023232,213800400
2005-05-01,34.070000,35.200001,32.220001,32.439999,19.160873,160131900
2005-06-01,32.200001,32.500000,30.400000,30.799999,18.192200,153865200
2005-07-01,30.799999,32.340000,29.900000,31.059999,18.563217,147348400
2005-08-01,31.240000,31.459999,27.150000,28.230000,16.871849,260286400
2005-09-01,28.320000,29.459999,26.969999,27.209999,16.483652,176674300
2005-10-01,27.420000,28.260000,25.500000,28.219999,17.095505,206969900
2005-11-01,28.450001,31.010000,27.799999,29.400000,17.810339,230326900
2005-12-01,29.690001,32.540001,27.990000,31.809999,19.517365,264066600
2006-01-01,32.520000,34.880001,31.809999,34.500000,21.167841,207353900
2006-02-01,34.270000,36.650002,33.560001,34.860001,21.388720,173221200
2006-03-01,35.049999,36.500000,34.340000,35.230000,21.615732,154184700
2006-04-01,35.470001,36.090000,33.549999,34.419998,21.351231,168042500
2006-05-01,34.669998,35.509998,32.750000,33.290001,20.650276,222474000
2006-06-01,33.509998,36.840000,33.119999,36.430000,22.860188,195372800
2006-07-01,36.900002,41.759998,35.000000,40.270000,25.269829,232498200
2006-08-01,40.380001,41.779999,38.000000,40.549999,25.445532,247940100
2006-09-01,40.520000,42.509998,39.900002,41.900002,26.537012,166075900
2006-10-01,42.150002,46.369999,41.240002,45.419998,28.766373,221964000
2006-11-01,45.990002,46.320000,42.290001,44.509998,28.190039,263203400
2006-12-01,44.650002,45.900002,42.630001,43.599998,27.613697,199626300
2007-01-01,44.029999,46.549999,43.160000,44.750000,28.581310,180030000
2007-02-01,44.900002,45.439999,42.349998,44.150002,28.198097,204242200
2007-03-01,43.950001,44.959999,42.759998,44.169998,28.210882,227502100
2007-04-01,44.590000,52.630001,44.520000,51.439999,33.136040,254707600
2007-05-01,51.650002,55.139999,50.540001,52.450001,33.786640,234967300
2007-06-01,52.520000,52.900002,48.000000,49.799999,32.079590,266895900
2007-07-01,49.910000,53.810001,48.430000,49.650002,32.220982,290100100
2007-08-01,49.619999,52.740002,48.110001,50.169998,32.558445,252721100
2007-09-01,50.490002,52.830002,48.799999,51.689999,33.544872,190699100
2007-10-01,52.000000,58.259998,51.439999,58.259998,38.097866,241501200
2007-11-01,57.880001,60.490002,54.060001,59.360001,38.817188,304006900
2007-12-01,58.759998,61.619999,56.560001,58.110001,37.999779,225164100
2008-01-01,58.150002,61.180000,42.320000,46.099998,30.343575,468739700
2008-02-01,46.200001,48.230000,44.130001,44.299999,29.158796,301121200
2008-03-01,44.689999,45.730000,36.820000,37.950001,24.979143,381436300
2008-04-01,38.389999,42.240002,36.799999,38.040001,25.257713,576788200
2008-05-01,37.810001,40.450001,37.799999,38.959999,25.868568,284443800
2008-06-01,38.959999,38.990002,34.490002,37.689999,25.025326,422514200
2008-07-01,37.410000,38.900002,31.150000,32.900002,22.063494,509814600
2008-08-01,33.090000,36.730000,32.740002,35.669998,23.921116,259200800
2008-09-01,35.619999,36.080002,30.340000,31.559999,21.164856,344917200
2008-10-01,31.420000,32.459999,23.639999,30.950001,20.984724,471992600
2008-11-01,30.930000,31.299999,22.820000,26.719999,18.116697,288339600
2008-12-01,26.370001,30.570000,24.129999,30.400000,20.611807,329424900
2009-01-01,30.459999,31.660000,26.870001,28.549999,19.637167,264083500
2009-02-01,28.090000,30.930000,24.170000,24.200001,16.645163,302360100
2009-03-01,23.820000,28.120001,20.049999,26.750000,18.399094,583899600
